Trade_Dt,P&L(%)
30-Nov-17,-0.0079
1-Dec-17,-0.0034
4-Dec-17,-0.0068
5-Dec-17,-0.0032
6-Dec-17,0.0013
7-Dec-17,0.0017
8-Dec-17,0.0086
11-Dec-17,0.002
12-Dec-17,-0.0084
13-Dec-17,0.003
14-Dec-17,-0.0007
15-Dec-17,0.0061
18-Dec-17,0.0134
19-Dec-17,0.0086
20-Dec-17,-0.002
21-Dec-17,-0.0002
22-Dec-17,-0.0003
25-Dec-17,0.0014
26-Dec-17,0.0003
27-Dec-17,0.0036
28-Dec-17,0.0043
29-Dec-17,0.0072
1-Jan-18,-0.0002
2-Jan-18,0.0024
3-Jan-18,-0.0001
4-Jan-18,0.0024
5-Jan-18,0.0032
8-Jan-18,-0.0002
9-Jan-18,-0.0021
10-Jan-18,-0.0095
11-Jan-18,-0.0022
12-Jan-18,-0.0028
15-Jan-18,0.0038
16-Jan-18,-0.0033
17-Jan-18,0.0032
18-Jan-18,-0.0024
19-Jan-18,0.001
22-Jan-18,-0.0039
23-Jan-18,-0.0062
24-Jan-18,0.0085
25-Jan-18,0.0011
26-Jan-18,0.0036
29-Jan-18,-0.0049
30-Jan-18,-0.0146
31-Jan-18,0.0034
1-Feb-18,-0.0023
2-Feb-18,-0.0207
5-Feb-18,-0.0148
6-Feb-18,0.0006
7-Feb-18,0.0008
8-Feb-18,0.0018
9-Feb-18,-0.0058
12-Feb-18,0.0079
13-Feb-18,-0.0004
14-Feb-18,0.0084
15-Feb-18,0.0058
16-Feb-18,-0.0037
19-Feb-18,-0.0002
20-Feb-18,-0.0044
21-Feb-18,0.0058
22-Feb-18,-0.0073
23-Feb-18,0.0188
26-Feb-18,0.0035
27-Feb-18,-0.003
28-Feb-18,-0.0039
1-Mar-18,-0.0046
2-Mar-18,0.0006
5-Mar-18,-0.0073
6-Mar-18,-0.0071
7-Mar-18,-0.0021
8-Mar-18,-0.0031
9-Mar-18,0.0086
12-Mar-18,0.0062
13-Mar-18,-0.0027
14-Mar-18,-0.0036
15-Mar-18,-0.0036
16-Mar-18,-0.0048
19-Mar-18,-0.0073
20-Mar-18,0.0004
21-Mar-18,0.0006
22-Mar-18,-0.0068
23-Mar-18,-0.0068
26-Mar-18,0.0088
27-Mar-18,0.0064
28-Mar-18,-0.005
29-Mar-18,0.0055
30-Mar-18,0.0005
2-Apr-18,-0.0006
3-Apr-18,0.0014
4-Apr-18,0.0003
5-Apr-18,0.0174
6-Apr-18,-0.0017
9-Apr-18,0.0041
10-Apr-18,0.004
11-Apr-18,0.003
12-Apr-18,-0.0015
13-Apr-18,0.0015
16-Apr-18,-0.002
17-Apr-18,-0.0051
18-Apr-18,0.0014
19-Apr-18,-0.003
20-Apr-18,-0.005
23-Apr-18,-0.0104
24-Apr-18,-0.002
25-Apr-18,-0.0104
26-Apr-18,0.0049
27-Apr-18,0.0113
30-Apr-18,0.006
1-May-18,-0.0019
2-May-18,-0.0119
3-May-18,-0.0113
4-May-18,-0.0099
7-May-18,0.0013
8-May-18,-0.0013
9-May-18,-0.0094
10-May-18,0.0061
11-May-18,0.0028
14-May-18,-0.0094
15-May-18,-0.0127
16-May-18,0.0038
17-May-18,-0.0072
18-May-18,-0.0174
21-May-18,-0.0005
22-May-18,0.0105
23-May-18,-0.0083
24-May-18,-0.0029
25-May-18,0.0083
28-May-18,0.0008
29-May-18,-0.0042
30-May-18,-0.0033
31-May-18,0.0039
1-Jun-18,0.0001
4-Jun-18,0.0061
5-Jun-18,-0.0067
6-Jun-18,0.0004
7-Jun-18,-0.0088
8-Jun-18,0.0079
11-Jun-18,-0.0034
12-Jun-18,0.0062
13-Jun-18,0.002
14-Jun-18,-0.0038
15-Jun-18,-0.0021
18-Jun-18,-0.0052
19-Jun-18,-0.0074
20-Jun-18,0.002
21-Jun-18,-0.009
22-Jun-18,0.0089
25-Jun-18,0.0076
26-Jun-18,-0.0044
27-Jun-18,-0.017
28-Jun-18,-0.01
29-Jun-18,0.0173
2-Jul-18,-0.0089
3-Jul-18,0.0063
4-Jul-18,0.0023
5-Jul-18,0.0003
6-Jul-18,0.0066
9-Jul-18,0.013
10-Jul-18,0.0053
11-Jul-18,-0.0073
12-Jul-18,0.0077
13-Jul-18,0.0037
16-Jul-18,-0.0048
17-Jul-18,0.009
18-Jul-18,-0.0063
19-Jul-18,-0.011
20-Jul-18,0.0141
23-Jul-18,0.0013
24-Jul-18,0.0061
25-Jul-18,0.0021
26-Jul-18,-0.003
27-Jul-18,0.0003
30-Jul-18,-0.0002
31-Jul-18,-0.002
1-Aug-18,0.0064
