Date,Sector,Net
2017-02-09,Health Care,0.0624
2017-02-09,Consumer Discretionary,0.2652
2017-02-09,Currency,0
2017-02-09,Real Estate,0.01
2017-02-09,Industrials,0.1971
2017-02-09,Materials,0.1509
2017-02-09,Financials,0.2107
2017-02-09,Index,0.0501
2017-02-10,Health Care,0.0645
2017-02-10,Industrials,0.1994
2017-02-10,Consumer Staples,0.0418
2017-02-10,Financials,0.2078
2017-02-10,Currency,0
2017-02-10,Consumer Discretionary,0.2681
2017-02-10,Materials,0.1492
2017-02-10,Real Estate,0.0103
2017-02-10,Index,0.0502
2017-02-13,Currency,0
2017-02-13,Consumer Discretionary,0.2669
2017-02-13,Index,0.0502
2017-02-13,Industrials,0.2024
2017-02-13,Health Care,0.0646
2017-02-13,Financials,0.2066
2017-02-13,Consumer Staples,0.0417
2017-02-13,Materials,0.1487
2017-02-13,Real Estate,0.0103
2017-02-14,Financials,0.2084
2017-02-14,Index,0.0505
2017-02-14,Real Estate,0.0102
2017-02-14,Materials,0.1455
2017-02-14,Currency,0
2017-02-14,Industrials,0.2016
2017-02-14,Health Care,0.064
2017-02-14,Consumer Discretionary,0.2695
2017-02-14,Consumer Staples,0.0418
2017-02-15,Index,0.0508
2017-02-15,Currency,0
2017-02-15,Materials,0.1455
2017-02-15,Industrials,0.2059
2017-02-15,Health Care,0.0639
2017-02-15,Consumer Staples,0.0417
2017-02-15,Financials,0.205
2017-02-15,Consumer Discretionary,0.2688
2017-02-15,Real Estate,0.0107
2017-02-16,Industrials,0.2049
2017-02-16,Index,0.0504
2017-02-16,Health Care,0.0643
2017-02-16,Consumer Staples,0.042
2017-02-16,Materials,0.144
2017-02-16,Currency,0
2017-02-16,Real Estate,0.0119
2017-02-16,Consumer Discretionary,0.2685
2017-02-16,Financials,0.2067
2017-02-17,Real Estate,0.0118
2017-02-17,Financials,0.2067
2017-02-17,Health Care,0.0648
2017-02-17,Index,0.0503
2017-02-17,Industrials,0.2048
2017-02-17,Consumer Staples,0.0421
2017-02-17,Currency,0
2017-02-17,Consumer Discretionary,0.2683
2017-02-17,Materials,0.1442
2017-02-20,Industrials,0.2058
2017-02-20,Index,0.0502
2017-02-20,Consumer Discretionary,0.2678
2017-02-20,Consumer Staples,0.0417
2017-02-20,Materials,0.1451
2017-02-20,Financials,0.2062
