Trade_Dt,Mkt,Growth,Mom,Quality,Size,Funds
18-07-19,0.074198381,-0.007395827,0.001180905,-0.004550037,0.005778741,0.0328
19-03-19,0.074360618,-0.015594316,-0.00275405,0.000663206,0.00572919,0.0542
01-04-19,0.074572261,-0.010819065,-0.002790451,-0.002399574,0.005728223,0.0753
02-04-19,0.075306044,-0.010877287,-0.002790652,-0.002018038,0.005819065,0.0743
11-07-19,0.075552046,-0.008754064,0.000191844,-0.004486695,0.004989876,0.0622
22-07-19,0.075761557,-0.007684779,0.001041294,-0.004439877,0.005908398,0.0091
17-07-19,0.076258257,-0.008265125,0.000705025,-0.00451003,0.005806351,0.035
25-07-19,0.076683679,-0.00761365,0.000483652,-0.004552389,0.006338532,-0.0025
24-07-19,0.077010736,-0.008550739,0.000304968,-0.004443092,0.006341153,-0.0058
23-07-19,0.077045603,-0.008679402,0.000372086,-0.004431643,0.005980931,-0.0014
03-07-19,0.077358803,-0.009420653,-0.001050486,-0.004495045,0.004945628,0.0424
15-07-19,0.07753287,-0.008759396,0.000506523,-0.004427872,0.006102472,0.0472
05-07-19,0.077950436,-0.010359069,-0.000687583,-0.004493221,0.005008395,0.0437
19-07-19,0.078140795,-0.008193708,0.000800976,-0.004426852,0.005394261,0.0201
01-07-19,0.079338058,-0.010247074,-0.001181905,-0.004492296,0.005364168,0.0349
16-07-19,0.079367975,-0.008880109,0.000370452,-0.00442418,0.005712114,0.0394
02-07-19,0.079835508,-0.010350133,-0.001376797,-0.004488832,0.004919463,0.0367
25-04-19,0.079938791,-0.015186371,-0.002474586,0.001789212,0.006212096,0.0394
26-04-19,0.080881261,-0.014354823,-0.002449795,0.001507081,0.006144304,0.0415
04-07-19,0.080967754,-0.010928547,-0.000810405,-0.004495724,0.005092732,0.0478
03-04-19,0.081433839,-0.013195215,-0.002707702,-0.000976248,0.005980596,0.07
02-05-19,0.081732876,-0.015117206,-0.002482266,0.001802234,0.006095304,0.0419
30-04-19,0.08178907,-0.013513969,-0.002433155,0.001177767,0.006016925,0.0503
04-04-19,0.082088182,-0.012832529,-0.002692926,-0.00098534,0.005917724,0.0599
01-05-19,0.082672555,-0.015472665,-0.002449371,0.001559535,0.006219283,0.0502
29-04-19,0.084283492,-0.015093743,-0.002477842,0.001360506,0.006019252,0.044
03-05-19,0.084465931,-0.015029964,-0.002504155,0.001621755,0.006115722,0.045
05-04-19,0.085134642,-0.013113969,-0.002680989,-0.001188121,0.00578571,0.0646
24-04-19,0.085297791,-0.016183818,-0.002550371,0.001851045,0.00622821,0.0364
15-04-19,0.086266184,-0.019272087,-0.002610256,0.001852773,0.006602495,0.0587
11-04-19,0.087006355,-0.019462382,-0.0026186,0.001721895,0.006610784,0.0615
08-04-19,0.087451023,-0.013900359,-0.002679968,-0.001017003,0.005841316,0.059
12-04-19,0.088177991,-0.019298612,-0.002639117,0.001673649,0.006585893,0.0585
22-04-19,0.088318669,-0.018254298,-0.002633011,0.00211179,0.006519923,0.0374
23-04-19,0.088873989,-0.016503028,-0.002575842,0.001939622,0.006289377,0.037
18-04-19,0.09070952,-0.018316973,-0.002654532,0.001478544,0.006390583,0.0496
19-04-19,0.090718581,-0.016975396,-0.002693348,0.001263701,0.006339426,0.0489
09-04-19,0.090852072,-0.012393656,-0.002616512,-0.001493017,0.005846268,0.0658
16-04-19,0.091339312,-0.01934485,-0.002614522,0.001731953,0.006366494,0.0619
10-04-19,0.092850073,-0.011039174,-0.002600975,-0.001854977,0.005939286,0.068
17-04-19,0.093381654,-0.019654757,-0.002702241,0.001805097,0.00655186,0.0561
