trade_dt,Country,VaR90D%
2/7/2017,Taiwan,-0.00033948
2/7/2017,Japan,-0.000749253
2/7/2017,Thailand,-2.13203E-07
2/7/2017,United States,-0.000343056
2/7/2017,Brazil,-0.003380781
2/7/2017,India,-0.009262878
2/7/2017,China,-0.000249452
2/7/2017,Indonesia,-0.00138039
2/8/2017,Mexico,-0.002502295
2/8/2017,Thailand,-2.91355E-07
2/8/2017,Japan,-0.001019226
2/8/2017,United States,-0.000300907
2/8/2017,Chile,-0.000114114
2/8/2017,Brazil,-0.00263924
2/8/2017,Indonesia,-0.001278564
2/8/2017,China,-0.000206346
2/8/2017,Taiwan,-0.000450521
2/8/2017,Philippines,-0.004871131
2/8/2017,India,-0.009012144
2/9/2017,Indonesia,-0.000702162
2/9/2017,Taiwan,-0.000114074
2/9/2017,Brazil,-0.001290098
2/9/2017,India,-0.007086465
2/9/2017,Thailand,-2.57474E-07
2/9/2017,United States,-0.000179386
2/9/2017,Japan,-0.000558492
2/9/2017,China,-0.000228859
2/9/2017,Mexico,-0.001812495
2/9/2017,Philippines,-0.004659772
2/9/2017,Chile,-0.000131275
2/10/2017,China,-0.000258583
2/10/2017,Chile,-0.000147812
2/10/2017,Mexico,-0.001957355
2/10/2017,Japan,-0.000488167
2/10/2017,Philippines,-0.00452806
2/10/2017,Taiwan,-8.23431E-05
2/10/2017,Indonesia,-0.000714342
2/10/2017,Brazil,-0.001467982
2/10/2017,Thailand,-2.49339E-07
2/10/2017,United States,-0.00019985
2/10/2017,India,-0.006974962
2/13/2017,United States,-0.000261911
2/13/2017,Thailand,-2.34187E-07
2/13/2017,Brazil,-0.00146058
2/13/2017,India,-0.006355493
2/13/2017,China,-0.000295556
2/13/2017,Indonesia,-0.000723556
2/13/2017,Philippines,-0.004428696
2/13/2017,Chile,-0.000145331
2/13/2017,Mexico,-0.002416407
2/13/2017,Taiwan,-9.27984E-05
2/13/2017,Japan,-0.000456646
2/14/2017,China,-0.000293127
2/14/2017,Chile,-0.000147288
2/14/2017,Mexico,-0.002417826
2/14/2017,Indonesia,-0.00073913
2/14/2017,United States,-0.00026911
2/14/2017,Brazil,-0.001470423
2/14/2017,Thailand,-2.35895E-07
2/14/2017,India,-0.006369829
2/14/2017,Taiwan,-7.20648E-05
2/14/2017,Japan,-0.000473504
2/14/2017,Philippines,-0.004454599
2/15/2017,Philippines,-0.00439776
2/15/2017,Japan,-0.000482725
2/15/2017,Taiwan,-7.90787E-05
2/15/2017,China,-0.000296144
2/15/2017,Chile,-0.000153678
2/15/2017,Mexico,-0.002475575
2/15/2017,Thailand,-2.35211E-07
2/15/2017,United States,-0.00028019
2/15/2017,Indonesia,-0.000714793
2/15/2017,Brazil,-0.001506646
2/15/2017,India,-0.006313895
2/16/2017,Thailand,-2.21441E-07
2/16/2017,United States,-0.000271716
2/16/2017,Mexico,-0.002329837
2/16/2017,Japan,-0.000477481
2/16/2017,Chile,-0.000170987
2/16/2017,China,-0.000309079
2/16/2017,Philippines,-0.004454534
2/16/2017,India,-0.006374712
2/16/2017,Indonesia,-0.000704851
2/16/2017,Brazil,-0.001507929
2/16/2017,Taiwan,-7.73725E-05
2/17/2017,China,-0.000305777
2/17/2017,United States,-0.000276703
2/17/2017,Indonesia,-0.00069715
2/17/2017,Thailand,-2.19899E-07
2/17/2017,India,-0.006324499
2/17/2017,Brazil,-0.001532746
2/17/2017,Mexico,-0.00230231
2/17/2017,Philippines,-0.004400095
2/17/2017,Chile,-0.000170552
2/17/2017,Japan,-0.000476108
2/17/2017,Taiwan,-8.14679E-05
2/20/2017,Thailand,-2.38871E-07
2/20/2017,United States,-0.000292793
2/20/2017,Indonesia,-0.000630397
2/20/2017,Taiwan,-5.78505E-05
2/20/2017,India,-0.006052254
2/20/2017,Brazil,-0.001789757
2/20/2017,Chile,-0.00018075
2/20/2017,Mexico,-0.00228196
2/20/2017,China,-0.000275545
2/20/2017,Philippines,-0.004200787
2/20/2017,Japan,-0.00047361
2/21/2017,Philippines,-0.003956648
2/21/2017,India,-0.006163709
2/21/2017,Brazil,-0.001630411
2/21/2017,Indonesia,-0.00065953
2/21/2017,China,-0.000269521
2/21/2017,Thailand,-2.47073E-07
2/21/2017,Chile,-0.000175106
2/21/2017,United States,-0.000296851
2/21/2017,Mexico,-0.002250609
2/21/2017,Taiwan,4.68701E-05
2/21/2017,Japan,-0.000438289
2/22/2017,Japan,-0.000437109
2/22/2017,Chile,-0.000173861
2/22/2017,Mexico,-0.002315439
2/22/2017,Indonesia,-0.000645192
2/22/2017,China,-0.000269041
2/22/2017,Thailand,-2.40423E-07
2/22/2017,United States,-0.000293233
2/22/2017,India,-0.006104047
2/22/2017,Brazil,-0.001572243
2/22/2017,Taiwan,4.71076E-05
2/22/2017,Philippines,-0.004006917
2/23/2017,India,-0.006094323
2/23/2017,Taiwan,5.02977E-05
2/23/2017,Brazil,-0.001521215
2/23/2017,Philippines,-0.004053317
2/23/2017,Japan,-0.000433286
2/23/2017,Chile,-0.00018305
2/23/2017,Mexico,-0.00229952
2/23/2017,Thailand,-2.46696E-07
2/23/2017,United States,-0.000295001
2/23/2017,Indonesia,-0.000676751
2/23/2017,China,-0.000246468
2/24/2017,Thailand,-2.46311E-07
2/24/2017,United States,-0.00030546
2/24/2017,India,-0.006072792
2/24/2017,Japan,-0.000428222
2/24/2017,China,-0.000238413
2/24/2017,Taiwan,6.18922E-05
2/24/2017,Brazil,-0.001515747
2/24/2017,Indonesia,-0.000668678
2/24/2017,Philippines,-0.004040289
2/24/2017,Chile,-0.00018566
2/24/2017,Mexico,-0.002268207
2/27/2017,Thailand,-2.36079E-07
2/27/2017,United States,-0.000304834
2/27/2017,Japan,-0.000420671
2/27/2017,Chile,-0.00020701
2/27/2017,Mexico,-0.002303374
2/27/2017,Taiwan,4.49014E-05
2/27/2017,Brazil,-0.001425155
2/27/2017,India,-0.006142357
2/27/2017,Philippines,-0.00397692
2/27/2017,Indonesia,-0.000734857
2/27/2017,China,-0.000240826
2/28/2017,India,-0.005864439
2/28/2017,Brazil,-0.001506844
2/28/2017,Thailand,-2.12484E-07
2/28/2017,United States,-0.00030652
2/28/2017,China,-0.000248181
2/28/2017,Indonesia,-0.000634196
2/28/2017,Chile,-0.000199609
2/28/2017,Mexico,-0.002354603
2/28/2017,Taiwan,6.68569E-05
2/28/2017,Philippines,-0.004278461
2/28/2017,Japan,-0.000421077
3/1/2017,China,-0.000251104
3/1/2017,Indonesia,-0.000917256
3/1/2017,Brazil,-0.000995796
3/1/2017,Taiwan,-1.713E-05
3/1/2017,India,-0.0055987
3/1/2017,Philippines,-0.00444412
3/1/2017,Chile,-0.000201709
3/1/2017,United States,-0.000237942
3/1/2017,Thailand,-1.72754E-07
3/1/2017,Japan,-0.000365157
3/1/2017,Mexico,-0.002116661
3/2/2017,China,-0.000251546
3/2/2017,Mexico,-0.002128134
3/2/2017,Chile,-0.00020017
3/2/2017,Philippines,-0.004485345
3/2/2017,Japan,-0.000342673
3/2/2017,India,-0.005601987
3/2/2017,Taiwan,-1.52372E-05
3/2/2017,Indonesia,-0.000920491
3/2/2017,United States,-0.000269441
3/2/2017,Brazil,-0.001001301
3/2/2017,Thailand,-1.72376E-07
3/3/2017,Thailand,-1.72057E-07
3/3/2017,United States,-0.000286874
3/3/2017,Indonesia,-0.000919095
3/3/2017,Brazil,-0.001025547
3/3/2017,India,-0.005540012
3/3/2017,Taiwan,-2.83156E-05
3/3/2017,China,-0.000248477
3/3/2017,Philippines,-0.004400406
3/3/2017,Chile,-0.000215567
3/3/2017,Mexico,-0.002163996
3/3/2017,Japan,-0.000339739
3/6/2017,India,-0.005515384
3/6/2017,Brazil,-0.001093427
