Trade_Dt,PNL,Positive_Var90D,Negative_Var90D,,,,,,,,,
15-Jun-17,-0.26,1.64,-1.65,,,,,,,,,
16-Jun-17,0.03,1.64,-1.64,,,,,,,,,
19-Jun-17,-0.05,1.65,-1.65,,,,,,,,,
20-Jun-17,-0.73,1.62,-1.62,,,,,,,,,
21-Jun-17,-0.35,1.62,-1.62,,,,,,,,,
22-Jun-17,0.19,1.62,-1.62,,,,,,,,,
23-Jun-17,-0.57,1.62,-1.62,,,,,,,,,
26-Jun-17,0.45,1.64,-1.64,,,,,,,,,
27-Jun-17,0.02,1.63,-1.63,,,,,,,,,
28-Jun-17,0.2,1.63,-1.63,,,,,,,,,
29-Jun-17,-0.19,1.63,-1.63,,,,,,,,,
30-Jun-17,0.39,1.63,-1.63,,,,,,,,,
03-Jul-17,0.94,1.62,-1.63,,,,,,,,,
04-Jul-17,-0.25,1.62,-1.62,,,,,,,,,
05-Jul-17,0.36,1.63,-1.63,,,,,,,,,
06-Jul-17,0.4,1.6,-1.60,,,,,,,,,
07-Jul-17,0.27,1.59,-1.59,,,,,,,,,
10-Jul-17,-0.12,1.61,-1.61,,,,,,,,,
11-Jul-17,0.15,1.6,-1.60,,,,,,,,,
12-Jul-17,0.88,1.63,-1.63,,,,,,,,,
13-Jul-17,0.99,1.67,-1.67,,,,,,,,,
14-Jul-17,0.14,1.66,-1.66,,,,,,,,,
17-Jul-17,-0.08,1.67,-1.67,,,,,,,,,
18-Jul-17,0.65,1.67,-1.67,,,,,,,,,
19-Jul-17,0.1,1.68,-1.68,,,,,,,,,
20-Jul-17,-0.45,1.69,-1.69,,,,,,,,,
21-Jul-17,0.49,1.69,-1.69,,,,,,,,,
24-Jul-17,0.05,1.66,-1.66,,,,,,,,,
25-Jul-17,0.28,1.65,-1.65,,,,,,,,,
26-Jul-17,0.26,1.63,-1.63,,,,,,,,,
27-Jul-17,-0.11,1.64,-1.64,,,,,,,,,
28-Jul-17,0.14,1.62,-1.62,,,,,,,,,
31-Jul-17,0.86,1.64,-1.64,,,,,,,,,
01-Aug-17,-0.13,1.64,-1.64,,,,,,,,,
02-Aug-17,0.65,1.66,-1.66,,,,,,,,,
03-Aug-17,-0.47,1.65,-1.66,,,,,,,,,
04-Aug-17,0.29,1.64,-1.64,,,,,,,,,
07-Aug-17,0.59,1.65,-1.65,,,,,,,,,
08-Aug-17,0,1.64,-1.64,,,,,,,,,
09-Aug-17,-0.98,1.66,-1.66,,,,,,,,,
10-Aug-17,-1.61,1.71,-1.71,,,,,,,,,
11-Aug-17,-0.53,1.7,-1.70,,,,,,,,,
14-Aug-17,0.72,1.7,-1.70,,,,,,,,,
15-Aug-17,-0.18,1.68,-1.68,,,,,,,,,
16-Aug-17,1.04,1.32,-1.32,,,,,,,,,
17-Aug-17,-0.2,1.27,-1.27,,,,,,,,,
18-Aug-17,0.39,1.26,-1.26,,,,,,,,,
21-Aug-17,-0.32,1.2,-1.20,,,,,,,,,
22-Aug-17,0.21,1.2,-1.20,,,,,,,,,
23-Aug-17,0.07,1.19,-1.19,,,,,,,,,
24-Aug-17,-0.05,1.19,-1.19,,,,,,,,,
25-Aug-17,-0.16,1.16,-1.16,,,,,,,,,
28-Aug-17,0.37,1.17,-1.17,,,,,,,,,
29-Aug-17,-0.47,1.16,-1.16,,,,,,,,,
30-Aug-17,0.7,1.16,-1.17,,,,,,,,,
31-Aug-17,-0.09,1.17,-1.17,,,,,,,,,
01-Sep-17,-0.03,1.16,-1.16,,,,,,,,,
04-Sep-17,-0.26,1.15,-1.15,,,,,,,,,
05-Sep-17,0.11,1.16,-1.16,,,,,,,,,
06-Sep-17,0.09,1.14,-1.14,,,,,,,,,
07-Sep-17,0.92,1.18,-1.18,,,,,,,,,
08-Sep-17,0.55,1.18,-1.18,,,,,,,,,
11-Sep-17,0.41,1.19,-1.19,,,,,,,,,
12-Sep-17,0.07,1.16,-1.16,,,,,,,,,
13-Sep-17,-0.21,1.15,-1.15,,,,,,,,,
14-Sep-17,0.23,1.15,-1.15,,,,,,,,,
15-Sep-17,0.35,1.15,-1.15,,,,,,,,,
18-Sep-17,0.8,1.16,-1.16,,,,,,,,,
19-Sep-17,-0.05,1.16,-1.16,,,,,,,,,
20-Sep-17,-0.27,1.16,-1.16,,,,,,,,,
21-Sep-17,-0.5,1.16,-1.16,,,,,,,,,
22-Sep-17,0.16,1.16,-1.16,,,,,,,,,
25-Sep-17,-1.13,1.21,-1.21,,,,,,,,,
26-Sep-17,-0.05,1.22,-1.22,,,,,,,,,
27-Sep-17,-0.8,1.24,-1.24,,,,,,,,,
28-Sep-17,0.04,1.28,-1.28,,,,,,,,,
29-Sep-17,0.91,1.3,-1.30,,,,,,,,,
02-Oct-17,0.55,1.29,-1.29,,,,,,,,,
03-Oct-17,0.67,1.31,-1.31,,,,,,,,,
04-Oct-17,0.35,1.3,-1.30,,,,,,,,,
05-Oct-17,-0.73,1.32,-1.32,,,,,,,,,
06-Oct-17,-0.12,1.31,-1.31,,,,,,,,,
09-Oct-17,-0.11,1.33,-1.33,,,,,,,,,
10-Oct-17,0.54,1.32,-1.32,,,,,,,,,
11-Oct-17,-0.3,1.3,-1.30,,,,,,,,,
12-Oct-17,0.19,1.3,-1.30,,,,,,,,,
13-Oct-17,0.23,1.3,-1.30,,,,,,,,,
16-Oct-17,0.39,1.3,-1.30,,,,,,,,,
