Date,name1,value,parent,name
9/1/2017,ALSEA* MM Equity,0.082947669,Origin,ALSEA* MM 
9/1/2017,GFREGIO MM Equity,0.028924227,Origin,GFREGIO MM 
9/1/2017,KINO IJ Equity,0.003677596,Origin,KINO IJ 
9/1/2017,MRCO IN Equity,0.032634108,Origin,MRCO IN 
9/1/2017,SECB PM Equity,0.083064219,Origin,SECB PM 
9/1/2017,EIM IN Equity,0.048335872,Origin,EIM IN 
9/1/2017,EEM US Equity,0.03807485,Origin,EEM
9/1/2017,PARAUCO CI Equity,0.005286216,Origin,PARAUCO CI 
9/1/2017,ACES IJ Equity,0.002839427,Origin,ACES IJ 
9/1/2017,JPYUSD Curncy,0,Origin,JPYUSD 
9/1/2017,MIKA IJ Equity,0.027998993,Origin,MIKA IJ 
9/1/2017,6409 TT Equity,0.040940554,Origin,6409 TT 
9/1/2017,DMC PM Equity,0.019764395,Origin,DMC PM 
9/1/2017,RAIL3 BZ Equity,0.051357001,Origin,RAIL3 BZ 
9/1/2017,SRCM IN Equity,0.063470374,Origin,SRCM IN 
9/1/2017,KLBF IJ Equity,0.034633529,Origin,KLBF IJ 
9/1/2017,ICT PM Equity,0.090572422,Origin,ICT PM 
9/1/2017,2199 HK Equity,0.025903281,Origin,2199 HK 
9/1/2017,MPI PM Equity,0.090109072,Origin,MPI PM 
9/1/2017,4613 JT Equity,0.038313437,Origin,4613 JT 
10/1/2017,EIM IN Equity,0.048275843,Origin,EIM IN 
10/1/2017,RAIL3 BZ Equity,0.052230844,Origin,RAIL3 BZ 
10/1/2017,MPI PM Equity,0.092715856,Origin,MPI PM 
10/1/2017,PARAUCO CI Equity,0.006027761,Origin,PARAUCO CI 
10/1/2017,ICT PM Equity,0.092093186,Origin,ICT PM 
10/1/2017,PAG IN Equity,0.072021361,Origin,PAG IN 
10/1/2017,JPYUSD Curncy,0,Origin,JPYUSD 
10/1/2017,ACES IJ Equity,0.002773345,Origin,ACES IJ 
10/1/2017,MRCO IN Equity,0.03333649,Origin,MRCO IN 
10/1/2017,PI IN Equity,0.041244004,Origin,PI IN 
10/1/2017,4613 JT Equity,0.038399723,Origin,4613 JT 
10/1/2017,6409 TT Equity,0.040546637,Origin,6409 TT 
10/1/2017,KLBF IJ Equity,0.034949947,Origin,KLBF IJ 
10/1/2017,TVSL IN Equity,0.044229987,Origin,TVSL IN 
10/1/2017,DMC PM Equity,0.018694229,Origin,DMC PM 
10/1/2017,GFREGIO MM Equity,0.027142556,Origin,GFREGIO MM 
10/1/2017,ALSEA* MM Equity,0.079426759,Origin,ALSEA* MM 
10/1/2017,EEM US Equity,0.038228947,Origin,EEM
10/1/2017,2199 HK Equity,0.025562424,Origin,2199 HK 
10/1/2017,MIKA IJ Equity,0.028262511,Origin,MIKA IJ 
10/1/2017,SRCM IN Equity,0.063582889,Origin,SRCM IN 
10/1/2017,SECB PM Equity,0.082598635,Origin,SECB PM 
10/1/2017,RBK IN Equity,0.024477358,Origin,RBK IN 
10/1/2017,KINO IJ Equity,0.003647913,Origin,KINO IJ 
10/1/2017,URC PM Equity,5.59E-05,Origin,URC PM 
11/1/2017,SRCM IN Equity,0.065720494,Origin,SRCM IN 
11/1/2017,RBK IN Equity,0.024807988,Origin,RBK IN 
11/1/2017,KINO IJ Equity,0.003620377,Origin,KINO IJ 
11/1/2017,2199 HK Equity,0.025142021,Origin,2199 HK 
11/1/2017,ALSEA* MM Equity,0.07986005,Origin,ALSEA* MM 
11/1/2017,EEM US Equity,0.038557665,Origin,EEM
11/1/2017,EIM IN Equity,0.046965255,Origin,EIM IN 
11/1/2017,6409 TT Equity,0.040383361,Origin,6409 TT 
11/1/2017,PI IN Equity,0.041123777,Origin,PI IN 
11/1/2017,TVSL IN Equity,0.043651886,Origin,TVSL IN 
